"filename", "language", "C#", "Solution File", "XML", "YAML", "comment", "blank", "total"
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\IPiece.cs", "C#", 13, 0, 0, 0, 0, 0, 13
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\IShape.cs", "C#", 11, 0, 0, 0, 0, 2, 13
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\King.cs", "C#", 57, 0, 0, 0, 0, 3, 60
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Knight.cs", "C#", 43, 0, 0, 0, 0, 3, 46
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Move.cs", "C#", 18, 0, 0, 0, 0, 1, 19
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\MoveIndicators.cs", "C#", 37, 0, 0, 0, 0, 4, 41
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\NormalMove.cs", "C#", 30, 0, 0, 0, 0, 2, 32
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Pawn.cs", "C#", 77, 0, 0, 0, 0, 7, 84
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Piece.cs", "C#", 67, 0, 0, 0, 2, 9, 78
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\PieceFactory.cs", "C#", 63, 0, 0, 0, 0, 7, 70
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\PieceType.cs", "C#", 17, 0, 0, 0, 0, 2, 19
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Player.cs", "C#", 24, 0, 0, 0, 0, 2, 26
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Position.cs", "C#", 53, 0, 0, 0, 0, 8, 61
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Program.cs", "C#", 31, 0, 0, 0, 6, 5, 42
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\PromotionMove.cs", "C#", 28, 0, 0, 0, 0, 4, 32
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Queen.cs", "C#", 35, 0, 0, 0, 0, 1, 36
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Rectangle.cs", "C#", 40, 0, 0, 0, 0, 9, 49
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Rook.cs", "C#", 31, 0, 0, 0, 0, 1, 32
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Shape.cs", "C#", 36, 0, 0, 0, 0, 10, 46
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Sounds.cs", "C#", 7, 0, 0, 0, 0, 1, 8
"Total", "-", 1155, 21, 19, 53, 269, 198, 1715
