"filename", "language", "C#", "JSON", "PlantUML", "Python", "Solution File", "XML", "YAML", "comment", "blank", "total"
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\IShape.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\IVariantStrategy.cs", "C#", 35, 0, 0, 0, 0, 0, 0, 1, 4, 40
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\King.cs", "C#", 136, 0, 0, 0, 0, 0, 0, 4, 24, 164
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Knight.cs", "C#", 37, 0, 0, 0, 0, 0, 0, 0, 8, 45
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\MainMenuState.cs", "C#", 55, 0, 0, 0, 0, 0, 0, 3, 13, 71
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\MatchConfiguration.cs", "C#", 45, 0, 0, 0, 0, 0, 0, 0, 5, 50
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\MatchState.cs", "C#", 127, 0, 0, 0, 0, 0, 0, 16, 20, 163
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Move.cs", "C#", 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\NetworkChessManager.cs", "C#", 187, 0, 0, 0, 0, 0, 0, 1, 33, 221
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\NetworkSelectionScreen.cs", "C#", 108, 0, 0, 0, 0, 0, 0, 2, 16, 126
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\NormalMove.cs", "C#", 50, 0, 0, 0, 0, 0, 0, 0, 5, 55
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Pawn.cs", "C#", 90, 0, 0, 0, 0, 0, 0, 0, 15, 105
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Piece.cs", "C#", 50, 0, 0, 0, 0, 0, 0, 0, 11, 61
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\PieceFactory.cs", "C#", 75, 0, 0, 0, 0, 0, 0, 0, 8, 83
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\PieceType.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Player.cs", "C#", 24, 0, 0, 0, 0, 0, 0, 0, 2, 26
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Position.cs", "C#", 52, 0, 0, 0, 0, 0, 0, 2, 11, 65
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Program.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\PromotionMove.cs", "C#", 49, 0, 0, 0, 0, 0, 0, 0, 5, 54
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Properties\launchSettings.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Queen.cs", "C#", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Rectangle.cs", "C#", 46, 0, 0, 0, 0, 0, 0, 0, 9, 55
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Rook.cs", "C#", 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Shape.cs", "C#", 32, 0, 0, 0, 0, 0, 0, 0, 9, 41
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\SlidingPiece.cs", "C#", 37, 0, 0, 0, 0, 0, 0, 0, 4, 41
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Sound.cs", "C#", 25, 0, 0, 0, 0, 0, 0, 0, 6, 31
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Sounds.cs", "C#", 38, 0, 0, 0, 0, 0, 0, 0, 4, 42
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\StockfishBot.cs", "C#", 151, 0, 0, 0, 0, 0, 0, 7, 22, 180
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\TimeSelectionState.cs", "C#", 134, 0, 0, 0, 0, 0, 0, 11, 28, 173
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\Timer.cs", "C#", 67, 0, 0, 0, 0, 0, 0, 0, 14, 81
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\UIState.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\VariantFactory.cs", "C#", 17, 0, 0, 0, 0, 0, 0, 1, 1, 19
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\VariantSelectionScreen.cs", "C#", 69, 0, 0, 0, 0, 0, 0, 1, 11, 81
"c:\Users\Toan\OneDrive - Swinburne University\Documents\Swinburne_Course\COS20007-Object Oriented Programming\Chess\chess_api_client.py", "Python", 0, 0, 0, 156, 0, 0, 0, 21, 40, 217
"Total", "-", 3637, 8, 725, 156, 21, 19, 53, 265, 805, 5689
